Company Name,Industry,Symbol, Net Income,ROA ,operating cash flow 2020,Long term debt 2019,Long term debt 2020,Current Ratio 2019,Current Ratio 2020,Outstanding Shares in 2019,Outstanding Shares in 2020,Gross margin 2019,Gross margin 2020,Asset Turnover Ratio 2019,Asset Turnover Ratio 2020 ,,,
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,1376,16.12,41,0,44.7,5.49,5.05,265468580,265468580,40.98,37.29,61.53,63.19,,,
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,120,7.09,81,61.45,993.78,1.15,1.21,11325091,11570141,4.7,5.18,199.97,259.25,,,
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,227,16.43,67,0,929.72,5.88,3.93,83341610,83344877,28.22,29.96,110.35,96.79,,,
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,1969,8.72,-26,22000,1304,1.88,1.75,166113840,166232516,22.75,17.64,68.76,75.42,,,
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,1795,14.67,-672,0,777.2,2.1,3.15,27288952,27305473,34.15,29.75,86.03,73.52,,,
Emami Ltd.,CONSUMER GOODS,EMAMILTD,308,11.3,-105,0,83.06,1.25,1.3,453935238,448449740,28.3,28.16,95.41,99.11,,,
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,565,11.15,83,3464.01,4020.86,1.21,1.37,140662848,140662848,15.38,17.03,156.92,136.44,,,
Escorts Ltd.,AUTOMOBILE,ESCORTS,472,9.41,75,35.3,244.7,1.44,1.64,122576878,122576878,13.04,13.08,133,115.84,,,
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,762,3.18,-9,97.5,1104.1,1.62,1.66,850000000,850000000,10.81,10.42,65.59,59.38,,,
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,1553,0.86,2703,87062.91,125277.2,,,1985983562,1993359722,,,,,,,
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,79,0.51,-621.57,6746.27,11665.48,0.46,0.36,18741759,18741759,7.1,14.29,37.39,40.82,,,
GAIL (India) Ltd.,OIL & GAS,GAIL,7268,12.57,327,10278.3,38658.9,1.04,0.96,2255070933,4539703374,14.28,14.57,111.37,96.78,,,
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,1354,7.14,-167,35737.54,42743.37,2.25,1.85,282168156,282168156,28.59,28.46,36.77,35.41,,,
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,1495,10,-255,26047.8,21792.3,1.2,1.06,1022166096,1022316352,21.58,22.75,72.78,66.26,,,
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,373,2.69,-130.2,11962,6410.5,0.86,1.04,336384367,336520067,10.79,12.24,59.37,55.17,,,
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,359,2.68,21,5000,11.5,1.08,1.45,252023386,252080740,20.67,33.52,34.81,24.19,,,
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,6013,1.8,1655,566861,600941,1.49,1.49,657609040,657806468,23.11,24.26,31.83,30.75,,,
Gujarat State Petronet Ltd.,OIL & GAS,GSPL,2284,12.95,471,33747.13,24300.45,0.52,0.6,564014629,564143539,28.66,27.2,74.99,91.71,,,
HCL Technologies Ltd.,IT,HCLTECH,11057,13.33,-2141,430.68,409.22,2.42,1.62,1356278868,2713665096,24.6,25.33,103.16,85.24,,,
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,1262,29.29,25,0,1176.8,27.4,18.06,212592645,212843796,72.45,85.48,59.4,46.49,,,
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,27296,1.72,6122,1577327.79,1868343.23,,,2732812271,5490278560,,,,,,,
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,1297,0.98,-372,0,0,3.09,0.87,2017489149,2019173024,78.47,78.83,1.26,1.26,,,
Havells India Ltd.,CONSUMER GOODS,HAVELLS,735,10.39,-436,405,897.4,1.51,1.5,625802834,626013006,13.03,12.09,140.44,133.46,,,
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,3624,18.49,97,1248.4,2516.4,1.91,2.02,199726884,199741042,16.79,16.37,183.58,148.69,,,
Hindalco Industries Ltd.,METALS,HINDALCO,3763,2.22,12174,480320,592510,1.6,1.78,2245845916,2246284546,12.74,13.11,85.52,69.68,,,
Hindustan Copper Ltd.,METALS,HINDCOPPER,-568,-18.26,-301,5706.57,6361.75,1.31,0.72,925218000,925218000,29.64,-22.41,54.86,26.68,,,
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,3096,2.25,-246,121278,231096.3,0.76,0.66,1523822625,1523822625,4.71,2.72,256.63,230.17,,,
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,6764,33.48,2595,0,6060,1.37,1.32,2164801037,2349550042,23.98,26.37,211.01,197.4,,,
Hindustan Zinc Ltd.,METALS,HINDZINC,6805,14.48,1875,0,220,2.79,4.58,4225319000,4225319000,58.96,58.08,49.73,39.51,,,
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,27296,1.72,6122,2234934.6,2345214.2,,,1725306237,1734608807,,,,,,,
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,11050,0.69,40462,2084145.87,2106145.62,,,6452596296,6475980400,,,,,,,
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,1193,3.22,-369,4850,4850,0.38,0.32,454410444,454474954,96.86,86.47,5.06,5.42,,,
